Time,Temp,RH,Pressure,Gas,Lat,Lon,RSSI,Flag,Reset,Heap1,Heap2,CPU_Temp,Td,J11
22:53:33,2.09,74.81,1009.18,41928,51.787077,-4.002341,-42,0,POWERON,202148,177408,55.6,-1.90728581887259,1.0876461365776637
22:58:33,2.07,74.81,1009.17,42097,51.787167,-4.002591,-43,0,POWERON,202148,177408,55.6,-1.926624605750159,0.966939343878447
23:03:33,2.04,74.79,1009.14,42353,51.78729,-4.003006,-43,0,POWERON,202148,177408,56.1,-1.9592526726103976,1.0876022286746256
23:08:33,2.01,74.78,1009.12,42224,51.78723,-4.002792,-44,0,POWERON,202148,177408,55.6,-1.9900699526991783,1.027242669626015
23:13:33,1.98,74.78,1009.09,42525,51.787216,-4.002761,-44,0,POWERON,202148,177408,55.6,-2.0190771397746445,0.9669062358488808
23:18:33,1.95,74.76,1009.06,42699,51.787295,-4.003252,-44,0,POWERON,202148,177408,55.6,-2.051702846373523,1.0875235532959464
23:23:33,1.92,74.72,1009.03,42439,51.787199,-4.002683,-43,0,POWERON,202148,177408,55.6,-2.08794697100813,1.2081374878202331
23:28:34,1.89,74.73,1008.99,42482,51.787248,-4.002662,-43,0,POWERON,201848,177408,55.0,-2.1151425766107237,0.9065201867531228
23:34:21,1.86,74.72,1008.95,42439,51.78722,-4.00262,-42,0,POWERON,202148,177408,55.6,-2.1459568485605995,1.0271423983292016
23:39:21,1.83,74.72,1008.92,42482,51.787229,-4.002715,-42,0,POWERON,202148,177408,55.6,-2.17496196955557,0.9668373664990211
23:44:21,1.8,74.69,1008.89,42743,51.78718,-4.002669,-42,0,POWERON,202148,177408,55.6,-2.209392305897637,1.1476778780688857
23:49:21,1.77,74.68,1008.86,43007,51.787124,-4.002879,-43,0,POWERON,202148,177408,55.6,-2.240204681338551,1.0270791813638132
23:54:21,1.74,74.67,1008.81,42875,51.787219,-4.002524,-44,0,POWERON,202148,177408,55.6,-2.2710165018010744,1.027060682084105
23:59:21,1.71,74.68,1008.77,43007,51.787273,-4.002537,-45,0,POWERON,202148,177408,55.0,-2.2982122106991176,0.9065236299347738
00:04:21,1.69,74.67,1008.75,43185,51.787195,-4.002623,-42,0,POWERON,202148,177408,55.6,-2.3193555361987808,1.0571662749831559
00:09:21,1.66,74.65,1008.73,43230,51.787202,-4.00266,-42,0,POWERON,202148,177408,55.6,-2.351973619631137,1.087269447745212
00:14:21,1.64,74.63,1008.71,43320,51.787148,-4.002717,-44,0,POWERON,202148,177408,55.6,-2.3749235792625263,1.1474979815694553
00:19:21,1.62,74.62,1008.73,43545,51.787227,-4.002688,-42,0,POWERON,202148,177408,55.6,-2.3960656417314836,1.0571031234478776
00:24:21,1.59,74.63,1008.77,43774,51.787194,-4.002637,-42,0,POWERON,202148,177408,55.6,-2.4232603207077124,0.9064892992076238
00:29:22,1.57,74.63,1008.83,43320,51.787196,-4.002625,-42,0,POWERON,202108,177408,55.0,-2.442595112146032,0.9667395719159746
00:35:08,1.55,74.62,1008.85,43636,51.787388,-4.002625,-42,0,POWERON,202148,177408,55.0,-2.4637363249028423,1.0570606378405225
00:40:08,1.54,74.63,1008.85,43682,51.787191,-4.002654,-44,0,POWERON,202148,177408,55.0,-2.4715974009401993,0.7861076037356967
00:45:08,1.52,74.61,1008.82,43682,51.787325,-4.002507,-42,0,POWERON,202148,177408,55.6,-2.4945443856485086,1.1473492354154613
00:50:08,1.51,74.62,1008.82,43820,51.78716,-4.002451,-44,0,POWERON,202148,177408,55.6,-2.5024055849794067,0.7861199330898121
00:55:08,1.5,74.61,1008.81,43820,51.787141,-4.002621,-44,0,POWERON,202148,177408,55.6,-2.513878772991742,1.147318801233509
01:00:08,1.49,74.6,1008.74,43912,51.787283,-4.002703,-42,0,POWERON,202148,177408,55.6,-2.5253518919540774,1.1473118962335593
01:05:08,1.48,74.59,1008.67,44284,51.787215,-4.00273,-42,0,POWERON,202148,177408,55.0,-2.536824941889066,1.1473049934988644
01:10:08,1.48,74.62,1008.61,44097,51.787194,-4.002616,-43,0,POWERON,202148,177408,55.0,-2.5314076723916723,inf
01:15:08,1.47,74.61,1008.55,44004,51.787271,-4.002582,-43,0,POWERON,202148,177408,55.6,-2.542880455733184,1.1472783341511572
01:20:08,1.47,74.62,1008.5,44144,51.787208,-4.002618,-43,0,POWERON,202148,177408,55.6,-2.5410750619777867,inf
01:25:08,1.46,74.61,1008.46,44237,51.787265,-4.002588,-43,0,POWERON,202148,177408,55.0,-2.5525477104408703,1.147264846308359
